Sternbergia lutea
Salvia sclarea
Chamomilla recutita
Prunus insititia
Melilotus indicus
Lavandula latifolia
Populus alba
Carex peregrina
Centaurea diluta
Bellevalia trifoliata
Veronica persica
Tetragonolobus purpureus
Medicago rugosa
Trifolium subterraneum subsp. yanninicum
Rumex longifolius
Allium triquetrum
Bombycilaena erecta
Echium arenarium
Salix triandra
Setaria pumila
Setaria verticillata
Ceratonia siliqua
Pisum sativum subsp. sativum
Tetragonolobus conjugatus subsp. requienii
Trigonella foenum-graecum
Palhinhaea cernua
Pinus pinea
Ficus carica
Ulex europaeus
Cephalaria syriaca
Medicago blancheana
Abutilon theophrasti
Eleocharis flavescens
Senecio inaequidens
Schoenoplectus juncoides
Medicago arborea
Viola odorata
Myosotis latifolia
Acanthus mollis
Micromeria juliana
Lindernia dubia
Olea europaea var. europaea
Veronica peregrina subsp. peregrina
Verbascum levanticum
Buddleja davidii
Verbena bonariensis
Verbena rigida
Lantana camara
Carpobrotus edulis
Mesembryanthemum crystallinum
Disphyma crassifolium
Drosanthemum floribundum
Tetragonia tetragonoides
Amaranthus blitoides
Amaranthus albus
Amaranthus blitum subsp. emarginatus
Amaranthus caudatus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus hypochondriacus
Amaranthus muricatus
Amaranthus powelii
Amaranthus retroflexus
Amaranthus viridis
Chenopodium pumilio
Chenopodium ambrosioides
Chenopodium multifidum
Boussingaultia cordifolia
Opuntia dillenii
Opuntia elata
Opuntia maxima
Silene armeria
Mollugo verticillata
Mirabilis jalapa
Polygonum capitatum
Reynoutria japonica
Montia perfoliata
Phytolacca americana
Phytolacca heterotepala
Zantedeschia aethiopica
Lemna minuta
Egeria densa
Narcissus tazetta subsp. tazetta
Nothoscordum gracile
Agave americana
Furcraea foetida
Gladiolus undulatus
Iris albicans
Iris germanica
Watsonia bulbillifera
Rhus coriaria
Rhus typhina
Acer negundo
Ailanthus altissima
Eryngium pandanifolium
Hydrocotyle bonariensis
Cyclospermum leptophyllum
Pittosporum tobira
Pittosporum undulatum
Vinca major subsp. major
Vinca minor
Gomphocarpus fruticosus
Gomphocarpus physocarpus
Artemisia verlotiorum
Aster squamatus
Aster lanceolatus
Bidens aurea
Bidens pilosa
Bidens frondosa
Carthamus tinctorius
Centaurea cyanus
Chamomilla suaveolens
Chrysanthemum segetum
Erigeron karvinskianus
Helichrysum foetidum
Helichrysum petiolare
Senecio mikanioides
Senecio bicolor subsp. cineraria
Senecio elegans
Senecio angulatus
Tanacetum vulgare
Tanacetum parthenium
Conyza bilbaoana
Conyza bonariensis
Conyza canadensis
Conyza sumatrensis
Arctotheca calendula
Gamochaeta simplicicaulis
Gamochaeta calviceps
Gamochaeta pensylvanica
Gamochaeta subfalcata
Gamochaeta spicata
Galinsoga parviflora
Galinsoga quadriradiata
Plecostachys serpyllifolia
Gymnostyles stolonifera
Cotula australis
Cotula coronopifolia
Ambrosia artemisiifolia
Arctotis stoechadifolia
Eclipta prostrata
Gaillardia aristata
Gazania rigens
Helianthus annuus
Petasites fragrans
Ptilostemon casabonae
Ageratina adenophora
Papaver somniferum subsp. somniferum
Eschscholzia californica
Juglans regia
Echium parviflorum
Heliotropium curassavicum
Brassica oleracea
Coronopus didymus
Lunaria annua
Matthiola incana subsp. incana
Tropaeolum majus
Prunus dulcis
Duchesnea indica
Ulmus glabra
Sida rhombifolia
Modiola caroliniana
Alcea rosea
Chamaesyce maculata
Chamaesyce serpens
Chamaesyce nutans
Euphorbia lathyris
Ricinus communis
Hypericum calycinum
Populus nigra var. nigra
Populus nigra var. italica
Populus nigra var. elegans
Populus nigra var. betulifolia
Salix alba var. vitellina
Salix fragilis
Salix viminalis
Salix babylonica
Tradescantia fluminensis
Eichhornia crassipes
Calystegia silvatica subsp. silvatica
Cuscuta campestris
Ipomoea indica
Ipomoea purpurea
Dichondra micrantha
Datura stramonium
Datura inoxia
Solanum citrullifolium
Solanum linnaeanum
